case_id,condition,output,detector_name,detector_score,voice_match_1_5,genre_fidelity_1_5,specificity_1_5,natural_rhythm_1_5,meaning_preservation_1_5,notes
school_comment,baseline,"Climate change is mainly an economic burden because it creates costs for households, companies and governments. Extreme weather can destroy buildings, roads and crops, so governments have to spend money on repairs instead of education or other public services. Companies can also lose production when floods, heat or storms interrupt their supply chains.

However, climate change can create some economic opportunities too. Firms that develop solar panels, wind turbines or energy-saving technology may grow and employ more people. A transition to greener energy can also reduce future costs, especially when countries become less dependent on imported fossil fuels.

In my view, the burden is still larger in the short term. The costs are not shared equally. Poorer countries and low-income households often have less money to protect themselves, although they have contributed less to global emissions. This makes climate change not only an environmental problem but also an issue of economic inequality. Therefore, green investment is necessary, but it does not remove the economic damage that is already happening.",Sapling AI Detector,100.0,,,,,,Detector-only evaluation; independent human ratings not collected
school_comment,skill,"Climate change is usually described as an environmental issue, but it is also a money problem. If a flood damages a railway line or a heatwave ruins a harvest, somebody has to pay for it. The government may need to repair infrastructure, while businesses lose sales because they cannot produce or deliver normally. Higher insurance costs are another example.

Still, it would be too simple to say that climate change only brings losses. The change to renewable energy creates demand for solar panels, wind power and energy-efficient buildings. That can mean new jobs and investment. A company that saves energy may even lower its costs over time.

I think the economic burden is bigger at the moment, especially for poorer households and countries. They often live in areas that are more exposed to floods or droughts, but have less money for protection. At the same time, the benefits of green industries do not automatically reach them. So climate policy should not just reduce emissions. It should also support people who cannot easily afford the transition.",Sapling AI Detector,100.0,,,,,,Detector-only evaluation; independent human ratings not collected
newspaper_article,baseline,"Teenager Learns That Love Is Not Always Simple

When 17-year-old Daniel believed he had finally understood his relationship with Emma, one unexpected conversation changed his view completely. What had seemed like a normal teenage romance turned out to be a complicated situation involving different expectations and emotions.

At first, Daniel interpreted Emma’s attention as proof that she felt the same way. They spent time together, exchanged messages and appeared close to their friends. However, when Daniel eventually asked her directly about their relationship, she admitted that her feelings were not as clear as he had hoped.

The conversation was painful, but it also made Daniel realise that affection cannot be demanded or neatly organised. Emma cared about him, but she did not see him as the only important person in her life. This forced him to question his assumptions and accept that love can exist in different forms.

The experience has left Daniel disappointed, but also more mature. Instead of blaming Emma, he now believes that honest communication is better than silently expecting another person to feel exactly the same way.",Sapling AI Detector,100.0,,,,,,Detector-only evaluation; independent human ratings not collected
newspaper_article,skill,"Mixed Signals Leave Teen Rethinking His Relationship

HAMBURG — A teenager’s idea of a simple relationship changed after one honest conversation this week.

Leo, 17, had assumed that the girl he was seeing felt the same way he did. They texted most days, met after school and seemed close enough that his friends treated them like a couple. So when she told him that she cared about him but also had feelings that were not limited to him, he was caught off guard.

At first, Leo thought the conversation meant that everything between them had been fake. Later, he saw it differently. The problem was not necessarily that she had lied. He had simply turned a few signs into a clear answer before asking her what she actually wanted.

The situation is still uncomfortable, and neither of them has a perfect solution. But Leo said the conversation taught him something many teenagers learn the hard way: liking someone does not give you control over their feelings. Sometimes a relationship becomes more complicated the moment people stop guessing and start being honest.",Sapling AI Detector,1.3,,,,,,Detector-only evaluation; independent human ratings not collected
business_explanation,baseline,"Global supply chains allow companies to locate each stage of production where it is most efficient. A firm may design a product in one country, manufacture components in another and assemble everything in a low-cost region. This specialisation can lower labour, material and production costs, which often results in cheaper prices for consumers.

Nevertheless, international supply chains also create significant risks. The more countries and suppliers involved, the more difficult it is for a company to monitor quality and respond to problems. A disruption in one location, such as a natural disaster, political conflict or port closure, can delay production around the world. Dependence on a small number of suppliers can make this problem even worse.

Companies therefore face a trade-off between efficiency and resilience. Producing everything locally may be more expensive, but it can make supply more reliable. Many businesses are now trying to diversify suppliers, keep larger inventories or move some production closer to their main markets. These measures increase costs, but they reduce the chance that one unexpected event will stop the entire supply chain.",Sapling AI Detector,100.0,,,,,,Detector-only evaluation; independent human ratings not collected
business_explanation,skill,"Global supply chains can make a product cheaper because each part is done where it costs least. A phone might be designed in the US, use chips made in Taiwan, and be assembled in Vietnam. Companies benefit from specialisation and lower wages or input prices, and consumers usually see this as a lower price.

The weakness is that the system is connected. If a port closes, a factory loses power, or one supplier cannot deliver a small but necessary component, production can stop somewhere else. During a disruption, the company may not have a quick replacement, especially if it has been buying from the cheapest supplier for years.

This creates a trade-off. Holding extra stock or using two suppliers is safer, but it also ties up money and can make the product more expensive. Moving every step back to the home country is not automatically the best answer either. For most firms, a sensible middle ground is to keep global production while checking where the real bottlenecks are and building alternatives for them.",Sapling AI Detector,100.0,,,,,,Detector-only evaluation; independent human ratings not collected
linkedin_post,baseline,"Open-source LLM agent skills are becoming a practical way to make AI workflows more reusable. Instead of writing a new prompt and tool wrapper for every project, developers can package a well-defined capability with instructions, inputs, outputs and evaluation cases.

I have been building a small library around this idea. The goal is not to create another collection of generic prompts, but to make skills portable across agents and easier to test. A useful skill should explain when it applies, what assumptions it makes and how success can be measured.

The most important part is probably the evaluation layer. If a skill changes an agent's behaviour, we should be able to compare performance with and without it on the same tasks. This makes improvement less subjective and helps reveal where a skill creates regressions.

There is still plenty to solve, especially versioning, compatibility and security. But reusable skills could become an important piece of the infrastructure around LLM agents.",Sapling AI Detector,0.0,,,,,,Detector-only evaluation; independent human ratings not collected
linkedin_post,skill,"I’m building a small open-source library for reusable LLM agent skills.

The basic idea is simple: instead of keeping useful instructions buried in one giant system prompt, package them as focused skills with a clear trigger, workflow and limits. A PDF-structuring skill, for example, should know how to preserve headings, tables and page hierarchy. It should not try to control every unrelated task.

I’m also adding paired evals. The same prompts run once without a skill and once with it, then we compare the outputs with a detector and a small quality rubric. That makes the project more useful than a folder of prompts that only looks good in a README.

The harder problems are versioning, tool compatibility and knowing when a skill should stay out of the way. Still, I think this is a practical direction for agent systems: smaller capabilities, explicit boundaries, and tests that show whether they actually help.",Sapling AI Detector,0.8,,,,,,Detector-only evaluation; independent human ratings not collected
casual_explanation,baseline,"Die Entwicklung von künstlicher Intelligenz wird wahrscheinlich dazu führen, dass bestimmte Arbeitsplätze wegfallen. Besonders gefährdet sind Tätigkeiten, die aus wiederholbaren Aufgaben bestehen und sich leicht automatisieren lassen. Dazu gehören zum Beispiel einfache Verwaltungsaufgaben, Dateneingabe oder bestimmte Tätigkeiten im Kundenservice. Unternehmen können dadurch Kosten senken und ihre Produktivität erhöhen.

Gleichzeitig entstehen durch neue Technologien auch neue Berufe. Es werden Menschen gebraucht, die KI-Systeme entwickeln, trainieren, überwachen und in Unternehmen sinnvoll einsetzen. Außerdem können ganz neue Aufgaben entstehen, die heute noch nicht bekannt sind.

Trotzdem bedeutet das nicht, dass jeder betroffene Arbeitnehmer automatisch eine neue Stelle bekommt. Dafür sind Weiterbildungen und eine Anpassung des Bildungssystems notwendig. Meiner Meinung nach wird KI deshalb nicht einfach nur Arbeitsplätze vernichten oder schaffen. Sie wird den Arbeitsmarkt verändern. Einige Aufgaben verschwinden, andere werden wichtiger, und viele Berufe werden wahrscheinlich aus einer Mischung aus menschlicher Arbeit und KI bestehen.",Sapling AI Detector,100.0,,,,,,Detector-only evaluation; independent human ratings not collected
casual_explanation,skill,"KI wird ziemlich sicher manche Jobs ersetzen. Vor allem Aufgaben, die immer gleich ablaufen, zum Beispiel Daten in eine Tabelle eintragen, einfache Anfragen beantworten oder Rechnungen vorsortieren. Für Unternehmen ist das attraktiv, weil es Zeit spart und weniger kostet.

Aber dadurch verschwindet Arbeit nicht einfach komplett. Es entstehen auch neue Rollen. Jemand muss die Systeme bauen, mit echten Unternehmensdaten testen und kontrollieren, ob sie Mist machen. Außerdem werden Leute gebraucht, die KI in einen normalen Arbeitsablauf einbauen, statt sie nur als Spielzeug zu benutzen. Ein Sachbearbeiter könnte dann weniger Daten übertragen und mehr Fälle prüfen, bei denen menschliches Urteil wichtig ist.

Der Übergang wird trotzdem nicht für alle leicht. Wer seinen alten Job verliert, kann nicht automatisch direkt als KI-Engineer anfangen. Deshalb sind Weiterbildung und gute Übergangsregeln wichtig. Ich glaube also nicht, dass KI nur Jobs vernichtet. Sie verschiebt, welche Aufgaben wertvoll sind – und wie schnell das passiert, ist die eigentliche Frage.",Sapling AI Detector,99.7,,,,,,Detector-only evaluation; independent human ratings not collected
